id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
279,,total-cost-and-service-time-ratio-case-granularity-c-c,Total Cost and Service Time Ratio (case granularity),1,2,Ratio between the total cost of a case and the service time of a case.,Event log in which the total cost in relation to the time taken for conducting activity instances is of relevance.,Ratio between total cost and service time should be as close to 0 as possible.,minimize,"\(\mathit{TCSTR\mathit{^{\times(c)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(c)}{\mathit{ST(c)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(c)}{\mathit{ST(c)}\),"\(\mathit{TC(c)\) returns the total cost of case \(c\).
\newline \(\mathit{ST(c)\) returns the total service time of case \(c\). \\"
280,,total-cost-and-service-time-ratio-group-of-cases-granularity-c-g,Total Cost and Service Time Ratio (group of cases granularity),1,3,"Ratio between the total cost of a group of cases, and the service time of a group of cases.",Event log in which the total cost in relation to the time taken for conducting activity instances is of relevance.,Ratio between total cost and service time should be as close to 0 as possible.,minimize,"\(\mathit{TCSTR\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(g)}{\mathit{ST(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(g)}{\mathit{ST(g)}\),"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{ST(g)\) returns the total service time of case group \(g\). \\"
281,,total-cost-and-service-time-ratio-activity-instance-granularity-c-i,Total Cost and Service Time Ratio (activity instance granularity),1,4,"Ratio between the total cost associated with an activity instance, and the service time of an activity instance.",Event log in which the total cost in relation to the time taken for conducting activity instances is of relevance.,Ratio between total cost and service time should be as close to 0 as possible.,minimize,"\(\mathit{TCSTR\mathit{^{\times(i)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{TC\mathit{^{\times(i)}{\mathit{ST(i)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{TC(i)}{\mathit{ST(i)}\),"\(\mathit{TC(i)\) returns the total cost of activity instance \(i\).
\newline \(\mathit{ST(i)\) returns the service time of activity instance \(i\). \\"
282,,total-cost-considering-single-events-of-activity-instances-activity-instance-granularity-c-i,Total Cost considering single events of activity instances (activity instance granularity),1,4,"Total cost associated with an activity instance, measured as the latest recorded value among the events of an activity instance.",Event log in which total cost information is recorded.,Minimizing total cost is desirable.,minimize,\(\mathit{TC\mathit{^{sgl(i)\),"\(\begin{cases}
#^{}_{\mathit{tc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) \neq \bot","\(\begin{cases}
#^{}_{\mathit{tc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{tc}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{tc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{tc}(\mathit{str(i)) = undefined \\
\end{cases}\)","\(#^{}_{\mathit{tc}\) returns the total cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
283,,total-cost-considering-the-sum-of-all-events-of-activity-instances-activity-instance-granularity-c-i,Total Cost considering the sum of all events of activity instances (activity instance granularity),1,4,"Total cost associated with an activity instance, measured as the sum of all values among the events of an activity instance.",Event log in which total cost information is recorded.,Minimizing total cost is desirable.,minimize,\(\mathit{TC\mathit{^{sum(i)\),"\(\begin{cases}
#^{}_{\mathit{tc}(\mathit{str(i)) + & \\ #^{}_{\mathit{tc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) \neq \bot \land #^{}_{\mathit{tc}(\mathit{str(i)) \neq \bot","\(\begin{cases}
#^{}_{\mathit{tc}(\mathit{str(i)) + & \\ #^{}_{\mathit{tc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{tc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{tc}(\mathit{str(i)) = undefined \\
\end{cases}\)","\(#^{}_{\mathit{tc}\) returns the total cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
284,,transportation-cost-case-granularity-c-c,Transportation Cost (case granularity),1,2,Transportation cost associated with a case.,Process where the cost of transportation is relevant.,Minimizing transportation cost is desirable.,minimize,\(\mathit{TransC(c)\),\(#^{}_{\mathit{transc}(c)\),\(#^{}_{\mathit{transc}(c)\),\(#^{}_{\mathit{transc}\) returns the transportation cost associated with case \(c\). \\
285,,transportation-cost-group-of-cases-granularity-c-g,Transportation Cost (group of cases granularity),1,3,Sum of transportation cost associated with all cases in a group of cases.,Process where the cost of transportation is relevant.,Minimizing transportation cost is desirable.,minimize,\(\mathit{TransC(g)\),\(\sum _{c \in g} \mathit{TransC(c)\),\(\sum _{c \in g} \mathit{TransC(c)\),\(\mathit{TransC(c)\) returns the transportation cost for case \(c\). \\
286,,unwanted-activity-count-case-granularity-q-c,Unwanted Activity count (case granularity),4,2,Number of unwanted activities that occur in a case.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UAC(c)\),\(|\mathit{Unwl \cap \mathit{act(c)|\),"\(\displaystyle \sum_{a \in \mathit{act(c)}
\begin{cases}
1 & \text{if } a \in \mathit{Unwl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{Unwl\) returns the set of unwanted activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
287,,unwanted-activity-count-group-of-cases-granularity-q-g,Unwanted Activity count (group of cases granularity),4,3,Number of unwanted activities that occur in a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UAC(g)\),\(|\mathit{Unwl \cap (\cup_{c \in g} \mathit{act(c))|\),"\(\displaystyle \sum_{a \in (\cup_{c \in g} \mathit{act(c))}
\begin{cases}
1 & \text{if } a \in \mathit{Unwl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{Unwl\) returns the set of unwanted activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
288,,unwanted-activity-instance-count-case-granularity-q-c,Unwanted activity Instance count (case granularity),4,2,Number of times that an unwanted activity is instantiated in a case.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UIC(c)\),\(|\{i \in \mathit{inst(c) \mid \mathit{act(i) \in \mathit{Unwl\}|\),"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \in \mathit{Unwl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Unwl\) returns the set of unwanted activities. \\"
289,,unwanted-activity-instance-count-group-of-cases-granularity-q-g,Unwanted activity Instance count (group of cases granularity),4,3,Number of times that an unwanted activity is instantiated in a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UIC(g)\),\(\sum _{c \in g} \mathit{UIC(c)\),\(\sum _{c \in g} \mathit{UIC(c)\),\(\mathit{UIC(c)\) returns the unwanted activity instance count for case \(c\). \\
290,,unwanted-activity-instance-percentage-case-granularity-q-c,Unwanted activity Instance Percentage (case granularity),4,2,Percentage of times that an unwanted activity is instantiated in a case.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UIP(c)\),\(\frac{\mathit{UIC(c)}{\mathit{I(c)}\),\(\frac{\mathit{UIC(c)}{\mathit{I(c)}\),"\(\mathit{UIC(c)\) returns the unwanted activity instance count for case \(c\).
\newline \(\mathit{I(c)\) returns the total number of activity instances in case \(c\). \\"
291,,unwanted-activity-instance-percentage-group-of-cases-granularity-q-g,Unwanted activity Instance Percentage (group of cases granularity),4,3,Percentage of times that an unwanted activity is instantiated in a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UIP(g)\),\(\frac{\mathit{UIC(g)}{\mathit{I(g)}\),\(\frac{\mathit{UIC(g)}{\mathit{I(g)}\),"\(\mathit{UIC(g)\) returns the unwanted activity instance count for group \(g\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
292,,unwanted-activity-percentage-case-granularity-q-c,Unwanted Activity Percentage (case granularity),4,2,Percentage of unwanted activities that occur in a case.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UAP(c)\),\(\frac{\mathit{UAC(c)}{\mathit{A(c)}\),\(\frac{\mathit{UAC(c)}{\mathit{A(c)}\),"\(\mathit{UAC(c)\) returns the unwanted activity count for case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
293,,unwanted-activity-percentage-group-of-cases-granularity-q-g,Unwanted Activity Percentage (group of cases granularity),4,3,Percentage of unwanted activities that occur in a group of cases.,Event log that contains activities whose execution is unwanted.,Unwanted activities negatively affect the quality of the process.,minimize,\(\mathit{UAP(g)\),\(\frac{\mathit{UAC(g)}{\mathit{A(g)}\),\(\frac{\mathit{UAC(g)}{\mathit{A(g)}\),"\(\mathit{UAC(g)\) returns the unwanted activity count for group \(g\).
\newline \(\mathit{A(g)\) returns the number of unique activities in group \(g\). \\"
294,,variable-cost-activity-granularity-c-a,Variable Cost (activity granularity),1,1,Sum of variable cost of all instantiations of an activity in the event log.,Event log in which variable cost information is recorded.,Minimizing variable cost is desirable.,minimize,"\(\mathit{VC\mathit{^{\times(a)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(a)} \mathit{VC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{VC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{VC\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(a)} \mathit{VC(i)\),"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{VC(i)\) returns the variable cost of activity instance \(i\). \\"
295,,variable-cost-case-granularity-c-c,Variable Cost (case granularity),1,2,Sum of variable cost of all activity instances of a case.,Event log in which variable cost information is recorded.,Minimizing variable cost is desirable.,minimize,"\(\mathit{VC\mathit{^{\times(c)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(c)} \mathit{VC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{VC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{VC\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(c)} \mathit{VC(i)\),"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{VC(i)\) returns the variable cost of activity instance \(i\). \\"
